t_ms,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw,calib_gx_bias_lsb,calib_gy_bias_lsb,calib_gz_bias_lsb,calib_g_T_x_lsb,calib_g_T_y_lsb,calib_g_T_z_lsb,calib_valid
316758,465,-968,3768,-422,28,-5,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316760,443,-984,3743,-461,25,7,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316762,439,-1003,3709,-489,24,17,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316764,433,-1037,3680,-502,22,26,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316766,422,-1071,3649,-499,22,29,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316768,415,-1103,3635,-478,23,27,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316770,413,-1122,3617,-442,24,21,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316772,397,-1138,3610,-398,26,14,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316774,382,-1147,3620,-349,26,4,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316776,378,-1160,3632,-293,26,-8,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316778,379,-1163,3634,-232,23,-20,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316780,395,-1165,3654,-169,21,-34,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316782,406,-1159,3689,-107,23,-47,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316784,396,-1160,3711,-49,24,-60,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316786,391,-1155,3738,3,24,-72,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316788,389,-1147,3763,50,20,-83,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316790,394,-1140,3784,90,18,-95,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316792,394,-1134,3793,120,18,-108,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316794,394,-1119,3796,142,17,-121,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316796,405,-1099,3809,157,15,-131,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316798,418,-1071,3817,163,15,-138,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316800,426,-1041,3823,162,16,-144,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
